Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,26-Sep-25,30-Sep-25,CE,26400,1.2,1.7,1,1.4,1.2,1.4,176766,3500130.45,163.65,2842350,-50400,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24200,691.1,693.35,471.3,499.25,504.55,499.25,2498,46354.56,1015.86,59625,3900,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25950,2,2.65,1.6,2.1,2,2.1,213945,4164224.21,319.65,1082475,-434250,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25350,8.85,8.85,3.8,4.5,4,4.5,595004,11314823.87,2310.32,3726825,-1103625,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26700,1.2,1.6,0.85,1.3,1.25,1.3,133431,2672067.74,111.97,1995750,954825,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23050,-,-,-,1811.95,1811.95,1619.75,-,-,-,75,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22600,-,-,-,2813.55,2813.55,2069.5,-,-,-,2775,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24050,810,810,632.45,642.95,652.75,642.95,95,1760.48,46.92,2025,975,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27200,0.7,1.15,0.7,0.9,0.75,0.9,25751,525338.5,18.1,422850,197925,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26050,1.7,2.3,1.4,1.85,1.7,1.85,204553,3996735.83,281.59,1763325,-267750,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23750,1147.7,1147.7,953.95,953.95,953.95,921.4,16,297.44,12.44,1425,-375,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24450,448.65,449.6,242,262.55,268.7,262.55,14474,268511.04,3094.06,90075,68700,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,18000,6850,6850,6708,6708,6708,6708,17,315.81,86.31,9600,-525,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23600,1250,1254.2,1068,1091.75,1099.8,1091.75,33,612.49,28.39,5175,-1725,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26550,1.05,1.7,0.9,1.35,1.15,1.35,50912,1013831.64,46.44,298950,49200,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,30000,0.5,0.6,0.45,0.5,0.45,0.5,132038,2970906.37,51.37,961575,186150,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25450,4.45,5.15,3.25,3.7,3.35,3.7,497235,9492428.05,1454.99,3250800,-1463775,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23250,-,-,-,1845,1845,1419.9,-,-,-,150,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25850,1.9,2.85,1.75,2.4,2.15,2.4,395166,7661967.87,687.04,1113750,-889800,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24300,581.05,596.1,375.65,400.15,409.85,400.15,10471,194318.45,3484.47,89325,36750,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22850,-,-,-,2011.6,2011.6,1819.65,-,-,-,150,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,28000,0.65,0.95,0.55,0.8,0.55,0.8,49313,1035597.82,24.82,659700,-88875,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24750,204.2,204.2,57.3,62.85,62.9,62.85,2204960,41100098.84,170528.84,4455675,4255500,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23850,854.35,854.65,854.35,854.65,854.65,822.8,6,111.17,3.85,1125,-150,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,20000,4861,4868.4,4672.4,4689.9,4699.1,4689.9,412,7663.88,1483.88,45225,-20775,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25550,4,4,2.5,3.15,2.75,3.15,590267,11312402.5,1411.11,3193425,-1523850,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23100,1750,1750,1503.3,1593,1593,1593,16,297.01,19.81,1800,-675,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,19000,-,-,-,6000.05,6000.05,5667.15,-,-,-,2925,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23950,915.5,916,729.25,742.95,748,742.95,24,445.73,14.63,1125,-225,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24400,495.05,496.5,284.05,308,315.7,308,37554,696726,9487.8,476250,419625,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25400,7,7,3.55,4,3.7,4,1053319,20069243.25,3516.3,7560300,-2124675,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26000,1.45,2.5,1.45,2.05,2,2.05,1193803,23280905.95,1747.45,17413575,-1337250,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24150,720.9,737.2,519.95,545.35,549.8,545.35,291,5400.31,129.57,18225,525,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23300,1550,1590,1390,1390,1390,1369.95,20,372.23,22.73,4200,-600,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24950,82.95,82.95,18,19.85,18.05,19.85,1753261,32856080.95,48184.49,6430800,2630325,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27000,0.9,1.25,0.75,1,0.8,1,192885,3906058.21,136.96,4718475,-171450,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27300,0.65,1.05,0.6,0.85,0.7,0.85,38064,779382.54,22.14,501525,36750,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26100,1.95,2.2,1.4,1.8,1.65,1.8,287170,5621722.41,369.66,4226250,-600225,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27050,0.9,1.35,0.75,1.1,1,1.1,25574,518851.72,19.2,232875,106425,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25500,3.65,4.7,2.95,3.55,3.05,3.55,1364286,26095643.13,3673.38,15935700,1899300,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23550,-,-,-,1453.8,1453.8,1120.3,-,-,-,900,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26850,1.2,1.4,0.8,1.15,1,1.15,36800,741088.9,28.9,125700,-9900,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22950,-,-,-,1911,1911,1719.7,-,-,-,75,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26250,1.45,1.9,1.2,1.6,1.4,1.6,135419,2666215.24,153.68,1562625,230775,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23650,1227.55,1227.55,1018.75,1023.05,1031.55,1023.05,5,92.82,4.13,1125,-75,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26200,1.15,2.1,1.15,1.65,1.45,1.65,292336,5744744.81,342.41,3835950,-1408500,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25650,3,3.5,2.15,2.85,2.5,2.85,547103,10526053.26,1159.3,1699425,-601200,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23700,1194.2,1194.2,981.8,988.8,999.8,988.8,62,1149.34,47.29,4350,-1275,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24800,168,170,42.35,46.4,45.1,46.4,5458921,101892530,356599.44,12609075,10744425,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22900,-,-,-,2232,2232,1769.65,-,-,-,750,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27250,0.9,1.15,0.65,0.9,0.75,0.9,4324,88374.48,2.73,58725,22875,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26750,1,1.4,0.9,1.2,1,1.2,33726,676656.13,28.25,144375,-9150,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27350,0.85,1.05,0.6,0.9,0.75,0.9,22049,452293.04,12.93,213375,12450,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23200,1645,1645,1485.75,1485.75,1485.75,1469.85,12,223.04,14.24,2175,-450,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25050,35,39.95,10.55,12.25,10.6,12.25,1486224,27944345.24,21911.84,8143050,-52650,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25300,9.45,9.55,4.3,5.05,4.45,5.05,1242588,23583849.34,5742.04,10318950,639900,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24650,272.1,276.55,101.75,111.75,113.25,111.75,907237,16859263.82,86719.78,3077475,3012375,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,27100,0.75,1.5,0.65,1,0.7,1,22834,464117,15.95,167475,21900,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23350,-,-,-,1687.1,1687.1,1320,-,-,-,375,-,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25250,12,12,5,5.9,5,5.9,994914,18846756.25,5572.38,6706125,859575,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23000,1868.45,1874.75,1670,1692.8,1699.7,1692.8,2481,46134.07,3336.82,587700,-114000,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26600,1.15,1.6,0.9,1.4,1.4,1.4,132648,2646450.02,122.42,2144550,668025,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25800,2,3.05,1.8,2.45,2.15,2.45,984343,19048802.37,1765.32,6656850,-596400,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26500,1.1,1.6,1,1.35,1.25,1.35,521867,10372586.24,479.62,8268750,90975,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,23800,1100,1100,868.2,894.65,901.2,894.65,85,1579.21,61.96,16500,-2550,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,24350,534.75,538.45,329.9,355,363.15,355,2753,51095.15,818.49,39375,28275,24654.7
