source,title,summary,link,published_date,sentiment_label,sentiment_score
NewsAPI - Fortune,The U.S. government shutdown has investors flying blind when it comes to high-quality data—and they seem to like it that way,"Absent federal data, investors shifted from risk-off positions into risk-on mode.",https://fortune.com/2025/10/22/stocks-government-shutdown-flying-blind-data/,2025-10-22T11:20:44Z,neutral,0.5408601760864258
NewsAPI - BusinessLine,"Nifty eyes 26,000 breakout: What traders should watch out for","After a strong rally in recent sessions, sentiment remains upbeat, supported by earnings from heavyweight sectors and sustained foreign inflows. However, market participants are also cautious, awaiting fresh cues.",https://www.thehindubusinessline.com/markets/nifty-eyes-26000-breakout-what-traders-should-watch-out-for/article70189103.ece,2025-10-22T07:21:38Z,positive,0.6995583176612854
NewsAPI - BusinessLine,"Market closed for Balipratipada, benchmark indices end flat in Muhurat trading","Equity indices ended marginally higher in the special Muhurat Trading session on Tuesday, with the Nifty closing over 25,800 and Sensex at 84,400 level",https://www.thehindubusinessline.com/markets/market-closed-for-balipratipada-benchmark-indices-end-flat-in-muhurat-trading/article70188719.ece,2025-10-22T04:24:27Z,negative,0.8900509476661682
NewsAPI - The Times of India,"FII flows poised for comeback as India’s wall of worry turns into a low fence, says Alok Agarwal","FII sentiment towards India is reviving due to macro stability and easing global uncertainties, suggesting a shift from ""pause"" to ""play"" for the market. Despite some economic slowdown indicators, strong corporate profits and potential consumption boosts poin…",https://economictimes.indiatimes.com/markets/expert-view/fii-flows-poised-for-comeback-as-indias-wall-of-worry-turns-into-a-low-fence-says-alok-agarwal/articleshow/124731644.cms,2025-10-22T03:30:00Z,positive,0.9479069709777832
NewsAPI - Ndtvprofit.com,DIIs Start Samvat 2082 With Rs 607-Crore Net Selling; FPIs Stay Buyers,"The foreign portfolio investors on Tuesday stayed net buyers of Indian shares for the fourth straight session. FPIs bought stocks worth approximately Rs 97 crore, according to provisional data from the National Stock Exchange. The domestic institutional inves…",https://www.ndtvprofit.com/markets/diis-start-samvat-2082-with-rs-607-crore-net-selling-fpis-stay-buyers,2025-10-21T12:57:30Z,neutral,0.8722857236862183
NewsAPI - BusinessLine,Markets end flat in Muhurat trading as experts bet on revival in Samvat 2082,"The Nifty 50 inches up 25.45 points or 0.10 per cent to close at 25,868.60, while the BSE Sensex gained 62.97 points or 0.07 per cent to settle at 84,426.34",https://www.thehindubusinessline.com/markets/markets-end-flat-in-muhurat-trading-as-experts-bet-on-revival-in-samvat-2082/article70186252.ece,2025-10-21T12:51:08Z,positive,0.8998929858207703
NewsAPI - Fortune,"40% of Russell 2000 companies are unprofitable but their stock outperforms—and ‘the bubble could continue,’ one analyst says",Wall Street wants to know if the stock market is partying like it’s 1999.,https://fortune.com/2025/10/21/russell-2000-companies-unprofitable-stock-outperforms-tech-bubble/,2025-10-21T11:46:46Z,neutral,0.6190255880355835
NewsAPI - Yahoo Entertainment,"40% of Russell 2000 companies are unprofitable, but their stock outperforms—and ‘the bubble could continue,’ one analyst says",Wall Street wants to know if the stock market is partying like it’s 1999.,https://finance.yahoo.com/news/40-russell-2000-companies-unprofitable-114646238.html,2025-10-21T11:46:46Z,neutral,0.6023921370506287
NewsAPI - Ndtvprofit.com,Too Much Liquidity In Domestic Markets: What Nirmal Bang MD Said On India's IPO Pipeline | Profit Exclusive,"Investors have flocked in to invest into big, buzzing names in the primary market and Nirmal Bang's Managing Director and promoter, Kishore Bang, has zeroed in on the liquidity in the markets. ""There is too much liquidity in the domestic markets,"" he said not…",https://www.ndtvprofit.com/markets/too-much-liquidity-in-domestic-markets-what-nirmal-bang-md-said-on-indias-ipo-pipeline-profit-exclusive,2025-10-21T11:32:53Z,neutral,0.511243999004364
NewsAPI - Fortune,"Coach is winning over Chinese consumers with ‘American design,’ says CEO Todd Kahn",Also: All the news and watercooler chat from Fortune.,https://fortune.com/2025/10/21/coach-ceo-todd-kahn-sales-china-american-design/,2025-10-21T09:44:31Z,neutral,0.8750028610229492
NewsAPI - The Times of India,"Muhurat Trading: Investors buy largecaps in symbolic session as Infosys, HDFC Bank emerge top gainers","Indian markets began Samvat 2082 on a positive note during Diwali’s Muhurat trading, with Sensex up 270 points and Nifty near 25,900. Optimism in largecaps, strong earnings outlook, and festive sentiment drove gains.",https://economictimes.indiatimes.com/markets/stocks/news/muhurat-trading-investors-buy-largecaps-in-symbolic-session-as-infosys-hdfc-bank-emerge-top-gainers/articleshow/124718002.cms,2025-10-21T09:06:17Z,positive,0.9490578770637512
NewsAPI - Ndtvprofit.com,Nifty Realty The Top Sectoral Loser During Diwali Muhurat Trading,"The only sectoral loser among the Nifty sectors during the hour-long Diwali Muharat trading was Nifty Realty. The top gainer among sectors was Nifty Media, followed by Nifty Pharma, Metal, Defence and IT as of 2:14 p.m.",https://www.ndtvprofit.com/markets/nifty-realty-the-top-sectoral-loser-during-diwali-muhurat-trading,2025-10-21T09:02:17Z,negative,0.8948304653167725
NewsAPI - Ndtvprofit.com,"How Sensex, Nifty Fared During Muhurat Trading Session Over The Years?","As market participants in India eagerly wait for the National Stock Exchange Ltd. and BSE Ltd.'s unique annual session, Muhurat Trading, let's have a look at how Indian benchmarks have fared over the years.",https://www.ndtvprofit.com/markets/diwali-muhurat-trading-how-sensex-nifty-fared-during-one-hour-auspicious-trading-session-over-the-years,2025-10-21T06:32:06Z,neutral,0.8979348540306091
