date,total_call_oi,total_call_vol,total_put_oi,total_put_vol,pcr_oi,pcr_volume,underlying_close,news_count,sent_pos_share,sent_neg_share,sent_neu_share,sent_score_mean,sent_score_std,pcr_oi_chg1,pcr_volume_chg1,underlying_close_chg1,news_count_chg1,sent_score_mean_chg1,sent_pos_share_chg1,sent_neg_share_chg1
29/09/25,353544000,504,252084475,543,0.713021505,1.077380952,0,104,0.307692308,0.336538462,0.355769231,0.838003788,0.143689625,0.08423966,0.003610461,0,76,0.003442788,-0.049450549,-0.092032967
30/09/25,328594400,516,277622625,554,0.844879356,1.073643411,0,91,0.318681319,0.32967033,0.351648352,0.827575637,0.149974236,0.131857851,-0.003737542,0,-13,-0.010428151,0.010989011,-0.006868132
01/10/25,188628550,470,223478175,530,1.184752653,1.127659574,0,93,0.365591398,0.333333333,0.301075269,0.845616172,0.121296258,0.339873297,0.054016164,0,2,0.018040535,0.046910079,0.003663004
03/10/25,254953925,477,298858500,539,1.172205919,1.129979036,0,80,0.4,0.325,0.275,0.8778706,0.118235489,-0.012546734,0.002319461,0,37,0.058347647,0.097674419,0.069186047
06/10/25,255426225,489,340369400,556,1.332554635,1.137014315,0,98,0.428571429,0.224489796,0.346938776,0.816275939,0.136194674,0.160348716,0.007035279,0,77,-0.002804156,-0.047619048,0.081632653
07/10/25,309923400,500,322659450,570,1.041094186,1.14,0,110,0.427272727,0.236363636,0.336363636,0.850268027,0.136200344,-0.291460448,0.002985685,0,12,0.033992088,-0.001298701,0.01187384
08/10/25,236147150,444,188406875,516,0.797836751,1.162162162,0,93,0.419354839,0.279569892,0.301075269,0.85019371,0.132718975,-0.243257435,0.022162162,0,-17,-7.43E-05,-0.007917889,0.043206256
09/10/25,233699725,451,247388650,525,1.058574844,1.164079823,0,104,0.403846154,0.317307692,0.278846154,0.861505394,0.135698909,0.260738093,0.00191766,0,11,0.011311685,-0.015508685,0.0377378
10/10/25,240430650,467,317308250,530,1.319749583,1.13490364,0,103,0.427184466,0.242718447,0.330097087,0.837813165,0.137040336,0.261174738,-0.029176182,0,-1,-0.023692229,0.023338312,-0.074589246
13/10/25,297916550,480,311996225,573,1.047260466,1.19375,0,97,0.422680412,0.268041237,0.309278351,0.825650371,0.156322276,-0.272489117,0.05884636,0,61,-0.034285296,-0.188430699,0.073596793
14/10/25,355116075,487,290124150,585,0.816983996,1.201232033,0,96,0.458333333,0.3125,0.229166667,0.848715573,0.133929354,-0.23027647,0.007482033,0,-1,0.023065202,0.035652921,0.044458763
15/10/25,197706750,412,239713125,522,1.212468087,1.266990291,0,96,0.541666667,0.177083333,0.28125,0.855215573,0.120656166,0.395484091,0.065758258,0,0,0.0065,0.083333333,-0.135416667
16/10/25,211647275,431,292683575,547,1.382883739,1.269141531,0,102,0.509803922,0.215686275,0.274509804,0.870541873,0.116491256,0.170415652,0.00215124,0,6,0.0153263,-0.031862745,0.038602941
17/10/25,254102550,499,308285850,642,1.213233988,1.286573146,0,109,0.486238532,0.330275229,0.183486239,0.863370211,0.127785192,-0.169649751,0.017431615,0,7,-0.007171662,-0.023565389,0.114588955
20/10/25,309859000,529,312865900,668,1.009704091,1.262759924,0,92,0.489130435,0.239130435,0.27173913,0.860472293,0.116053826,-0.203529896,-0.023813222,0,47,0.00146416,0.022463768,0.016908213
21/10/25,180433500,450,194818400,585,1.079724109,1.3,0,47,0.468085106,0.212765957,0.319148936,0.840781213,0.146980008,0.070020018,0.037240076,0,-45,-0.019691081,-0.021045328,-0.026364477
23/10/25,250114725,485,237338500,613,0.948918541,1.263917526,0,21,0.571428571,0.19047619,0.238095238,0.905542952,0.068755704,-0.130805568,-0.036082474,0,-32,0.086210179,0.118598383,-0.092542677
24/10/25,330010100,520,249270375,630,0.755341655,1.211538462,0,2,0,1,0,0.9662555,0.011775449,-0.193576887,-0.052379064,0,-19,0.060712548,-0.571428571,0.80952381
