source,title,summary,link,published_date,sentiment_label,sentiment_score
NewsAPI - BusinessLine,"Top gainers & losers today, 15 September: Bajaj Finance, Eternal among top gainers; M&M, Asian Paints decline","Markets slip as IT and pharma stocks drag indices lower, ending an eight-session winning streak.",https://www.thehindubusinessline.com/markets/stock-markets/nse-bse-stock-market-top-gainers-top-losers-today-bajajfinance-eternal-ultracemco-15-september-2025/article70052642.ece,2025-09-15T13:35:32Z,negative,0.970861792564392
NewsAPI - Ndtvprofit.com,FPIs Turn Net Buyers After Two Selling Sessions,Foreign portfolio investors turned net buyers of Indian shares after two straight selling sessions on Friday amid the benchmark Nifty continuing itsthe best winning streak since April 2025 and ending in gains for an eighth session.,https://www.ndtvprofit.com/markets/fpis-turn-net-buyers-after-two-selling-sessions-2,2025-09-12T15:11:38Z,positive,0.8766498565673828
NewsAPI - Livemint,"RCPL signs MoU with Maharashtra govt to invest ₹1,513 crore in food and beverage facility","Reliance Consumer Products Ltd signed an MoU with Maharashtra to invest  ₹1,513 crore in a new manufacturing facility in Nagpur. This is part of a larger investment strategy to boost packaged goods production and create 500 jobs in the region.",https://www.livemint.com/companies/reliance-consumer-products-rcpl-nagpur-investment-reliance-food-processing-plant-11757606826367.html,2025-09-11T17:52:13Z,positive,0.9303598403930664
NewsAPI - The Indian Express,"School Assembly News September 12: ICC Women’s World Cup team announced, Nepal protest, new Maharashtra governor","School Assembly News September 12: From President Droupadi Murmu appointing Gujarat Governor Acharya Devvrat to also function as the governor of Maharashtra to Israeli Prime Minister Benjamin Netanyahu's warning to Qatar, we have all that you speak in the mor…",https://indianexpress.com/article/education/school-assembly-news-today-september-12-icc-women-world-cup-team-sonia-gandhi-nepal-interim-pm-10243944/,2025-09-11T14:30:25Z,neutral,0.9034860730171204
NewsAPI - Livemint,Adani bid to end bribery case stalls amid volatile US-India ties,"Billionaire Gautam Adani’s efforts to get US fraud charges against him resolved have stalled, according to people familiar with the matter, prolonging the regulatory overhang that has hobbled the Adani Group’s global expansion plans.",https://www.livemint.com/companies/adani-bid-to-end-bribery-case-stalls-amid-volatile-us-india-ties-11757591265297.html,2025-09-11T11:59:43Z,negative,0.9654616713523864
NewsAPI - The Times of India,Adani's bid to end bribery case stalls amid volatile India-US ties,"Gautam Adani's efforts to resolve US fraud charges have stalled amid US-India tensions, hindering his group's global expansion. The US Justice Department continues its criminal case, while the SEC struggles to serve legal papers. This regulatory overhang impa…",https://economictimes.indiatimes.com/news/company/corporate-trends/adanis-bid-to-end-bribery-case-stalls-amid-volatile-india-us-ties/articleshow/123825543.cms,2025-09-11T07:55:21Z,negative,0.9586526155471802
NewsAPI - The Times of India,Reliance Industries shares in focus after new AI unit launch,"Reliance Industries has launched Reliance Intelligence, a wholly-owned subsidiary, to spearhead its AI ambitions in India. This move, announced after market hours with RIL shares closing positively, follows Mukesh Ambani's vision to transform RIL into a deep-…",https://economictimes.indiatimes.com/markets/stocks/news/reliance-industries-shares-in-focus-after-new-ai-unit-launch/articleshow/123821601.cms,2025-09-11T04:17:36Z,positive,0.7697001099586487
NewsAPI - Livemint,"Need big bang reforms, GST cuts alone won't stimulate demand: Jamshyd Godrej","India needs “big bang reforms” for demand to grow, the chairman and managing director of Godrej Enterprises said at a press meet to revamp furniture brand Interio by Godrej.",https://www.livemint.com/companies/jamshyd-godrej-big-bang-reforms-needed-gst-cuts-not-enough-11757428820475.html,2025-09-09T16:56:28Z,positive,0.767842173576355
NewsAPI - The Times of India,"Two billion-dollar disruptions, one Reliance: Can Mukesh Ambani deliver?","Mukesh Ambani's Reliance Industries is embarking on ambitious ventures in AI and FMCG, aiming for significant growth. Reliance Intelligence, a joint venture with Meta and Google, seeks to dominate India's AI landscape. Simultaneously, Reliance Consumer Produc…",https://economictimes.indiatimes.com/markets/stocks/news/two-billion-dollar-disruptions-one-reliance-can-mukesh-ambani-deliver/articleshow/123777735.cms,2025-09-09T04:12:25Z,neutral,0.7641206383705139
NewsAPI - Ndtvprofit.com,"Stock Picks Today: TBO Tek, Eternal, Swiggy, Varun Beverages, Reliance, On Brokerages' Radar","Samvardhana Motherson International Ltd., TBO Tek Ltd., Eternal Ltd., Swiggy Ltd., Affle Ltd., Varun Beverages Ltd., Ceat Ltd., Reliance Industries Ltd., and Angel One Ltd. are among the companies garnering brokerage commentary today. Analysts have shared the…",https://www.ndtvprofit.com/markets/stock-picks-today-tbo-tek-eternal-zomato-swiggy-varun-beverages-reliance-on-brokerages-radar,2025-09-08T01:32:27Z,neutral,0.862294614315033
NewsAPI - The Times of India,Japan's Mitsui to operate ONGC's ethane carriers; equity structure under discussion,"Mitsui O.S.K. Lines will operate two very large ethane carriers for ONGC to import petrochemical feedstock for OPaL's Dahej facility, with imports starting around mid-2028. The firms are discussing a joint venture, with Mitsui likely holding a majority stake …",https://economictimes.indiatimes.com/industry/energy/oil-gas/japans-mitsui-to-operate-ongcs-ethane-carriers-equity-structure-under-discussion/articleshow/123744733.cms,2025-09-07T07:53:11Z,neutral,0.8744136095046997
NewsAPI - BusinessLine,Reliance sanctions compliant; Russian oil benefit capped at 2.1% of EBITDA,Reliance increased the purchase of Russian oil post the Ukraine war in February 2022 because Russian oil was available at a discount,https://www.thehindubusinessline.com/markets/commodities/reliance-sanctions-compliant-russian-oil-benefit-capped-at-21-of-ebitda/article70015922.ece,2025-09-05T11:27:38Z,positive,0.8835132718086243
NewsAPI - The Times of India,Reliance remains compliant with sanctions; Russian oil adds just 2.1% to EBITDA,"Analysts suggest Reliance Industries, despite being India's top buyer of Russian oil, is expected to maintain compliance with international sanctions. The financial benefit from refining Russian crude is limited, contributing only a small fraction to Reliance…",https://economictimes.indiatimes.com/industry/energy/oil-gas/reliance-remains-compliant-with-sanctions-russian-oil-adds-just-2-1-to-ebitda/articleshow/123717865.cms,2025-09-05T10:22:09Z,negative,0.66743403673172
NewsAPI - Bloomberg,Jane Street blindsides SEBI in dispute over trades in India,"By surprising SEBI, Jane Street has ramped up tensions in a dispute that could influence how global trading firms view the risks of operating in the world’s largest derivatives market by contracts traded",https://www.bloomberg.com/news/articles/2025-09-04/jane-street-blindsides-regulator-in-dispute-over-india-trades,2025-09-04T11:00:50Z,negative,0.567764937877655
NewsAPI - The Times of India,Jane Street blindsides Sebi in fight over India trades,Jane Street has appealed against the Securities and Exchange Board of India's (SEBI) order regarding market manipulation. The US firm claims it was denied access to crucial documents. Jane Street also argues that SEBI's surveillance department previously foun…,https://economictimes.indiatimes.com/markets/stocks/news/jane-street-blindsides-regulator-in-fight-over-india-trades/articleshow/123696624.cms,2025-09-04T10:15:50Z,negative,0.8793526887893677
NewsAPI - The Times of India,Trump's 50% tariffs put India's billionaire families in the crosshairs,"Donald Trump's imposition of 50% tariffs on Indian goods has sparked concerns among India's top business families, particularly those with significant exports to the US. Companies like Reliance Industries, Adani Group, and ArcelorMittal face potential setback…",https://economictimes.indiatimes.com/news/company/corporate-trends/trumps-50-tariffs-put-indias-billionaire-families-in-the-crosshairs/articleshow/123692591.cms,2025-09-04T08:14:54Z,negative,0.9619901776313782
NewsAPI - The Times of India,Multibillion-dollar deals fuel pickup in India's mergers & acquisitions activity,"Mergers and acquisitions in India are increasing. Cross-border deals and private equity funds are driving this growth. M&A volume has reached nearly $41 billion in 2025. Several major acquisitions have occurred recently, including Tata Motors' acquisition of …",https://economictimes.indiatimes.com/news/company/corporate-trends/multibillion-dollar-deals-fuel-pickup-in-indias-mergers-acquisitions-activity/articleshow/123690834.cms,2025-09-04T05:11:46Z,positive,0.5157889723777771
NewsAPI - Bloomberg,"Ambani’s Reliance boosts borrowing with loan, asset backed deal","Reliance Industries Ltd. is raising about ¥92 billion ($619 million) through a loan from a group of Japanese banks including Mizuho Financial Group Inc., Mitsubishi UFJ Financial Group, Inc. and Sumitomo Mitsui Banking Corporation",https://www.bloomberg.com/news/articles/2025-09-02/ambani-s-reliance-plans-2-billion-asset-backed-securities-deal,2025-09-03T08:56:30Z,positive,0.9271013736724854
NewsAPI - The Times of India,Rs 2.4 lakh crore wiped out from Mukesh Ambani stocks in 1 year. Can Reliance drive the comeback?,"Mukesh Ambani's ten companies collectively experienced a market value erosion of nearly Rs 2.4 lakh crore in the past year, with Reliance Industries leading the decline. Despite this downturn, brokerages remain optimistic about Reliance's long-term prospects …",https://economictimes.indiatimes.com/markets/stocks/news/rs-2-4-lakh-crore-wiped-out-from-mukesh-ambani-stocks-in-1-year-can-reliance-drive-the-comeback/articleshow/123649886.cms,2025-09-02T06:19:15Z,negative,0.9162086248397828
NewsAPI - Bloomberg,"Reliance to gain as China curbs price wars, Morgan Stanley Says",Reliance is building out a fully integrated solar supply chain in India at a time when overcapacity is forcing China to rationalize its polysilicon production and this could cut Reliance’s energy costs by as much as 40% by 2030,https://www.bloomberg.com/news/articles/2025-09-02/reliance-to-gain-as-china-curbs-price-wars-morgan-stanley-says,2025-09-02T04:07:24Z,positive,0.8479121923446655
NewsAPI - Financial Post,"Reliance to Gain as China Curbs Price Wars, Morgan Stanley Says","India’s Reliance Industries Ltd. stands to benefit the most from China’s push to curb overcapacity from a gamut of industries, and the conglomerate’s own efforts to streamline its businesses, according to Morgan Stanley.",https://financialpost.com/pmn/business-pmn/reliance-to-gain-as-china-curbs-price-wars-morgan-stanley-says,2025-09-02T03:51:50Z,positive,0.9462128281593324
NewsAPI - Ndtvprofit.com,"Stock Picks Today: Phoenix Mills, Nestle India, RIL, Bajaj Finance on Brokerages' Radar","Phoenix Mills Ltd., Reliance Industries Ltd., Bajaj Finance Ltd., as well as several telecom, auto and consumer sector stocks are garnering brokerage commentary today.",https://www.ndtvprofit.com/markets/stock-picks-today-phoenix-mills-nestle-india-ril-bajaj-finance-on-brokerages-radar,2025-09-02T02:19:52Z,neutral,0.8277223706245422
NewsAPI - TelecomTV,India’s Reliance forms new AI subsidiary,"Reliance Industries Ltd (RIL), the parent company of India’s leading telco, Reliance Jio, is going all in on AIIt is building its own datacentre facilities, te…",https://www.telecomtv.com/content/telcos-and-ai-channel/india-s-reliance-forms-new-ai-subsidiary-53728/,2025-09-01T13:32:52Z,neutral,0.7640018463134766
NewsAPI - GlobeNewswire,Green Hydrogen Market Growth Analysis Report (2025-2034): Emerging Trends and Competitive Strategies Shaping the Future,"The market is poised for significant growth driven by cost-effective electrolysis technologies, government incentives, and eco-consciousness. Key opportunities lie in boosting green hydrogen production, expanding its use in transportation and industrial appli…",https://www.globenewswire.com/news-release/2025/09/01/3142117/28124/en/Green-Hydrogen-Market-Growth-Analysis-Report-2025-2034-Emerging-Trends-and-Competitive-Strategies-Shaping-the-Future.html,2025-09-01T11:32:00Z,positive,0.8659036755561829
NewsAPI - TelecomTV,Reliance and Meta target India’s enterprise AI sector,"Jio’s parent, Reliance Industries Ltd (RIL), is forming an enterprise AI joint venture with Mark Zuckerberg’s MetaThe partners will use Meta’s Llama models and…",https://www.telecomtv.com/content/telcos-and-ai-channel/reliance-and-meta-target-india-s-enterprise-ai-sector-53726/,2025-09-01T09:22:43Z,neutral,0.6409396529197693
NewsAPI - Livemint,Jio Platforms IPO could see another tariff war—to hike telecom prices,"With Jio Platforms set to launch its IPO, telecom analysts predict a wave of tariff hikes, potentially boosting revenue for Reliance Jio and its competitors.",https://www.livemint.com/companies/jio-platforms-ipo-telecom-tariff-hike-11756712793283.html,2025-09-01T08:53:46Z,positive,0.9478506445884703
NewsAPI - Financial Post,Ambani Family Defers New York Show Amid Testy India-US Ties,"Billionaire Mukesh Ambani’s family has called off a weekend theatrical extravaganza scheduled for mid-September in New York, citing “unforeseen circumstances,” as the US sharpened its attacks on India over Russian oil purchases.",https://financialpost.com/pmn/business-pmn/ambani-family-defers-new-york-show-amid-testy-india-us-ties,2025-09-01T07:21:28Z,negative,0.9354904890060424
NewsAPI - The Times of India,"Reliance Jio IPO set for 2026, analysts see tariff hike and execution risks ahead","Reliance Jio is gearing up for a potential record-breaking IPO by the first half of 2026. While analysts see it as a major value-unlocking event, concerns remain over execution risks, holding company discounts, and missed opportunities from not pursuing a dem…",https://economictimes.indiatimes.com/markets/ipos/fpos/reliance-jio-ipo-set-for-2026-analysts-see-tariff-hike-and-execution-risks-ahead/articleshow/123626186.cms,2025-09-01T04:25:15Z,negative,0.9471131563186646
NewsAPI - Ndtvprofit.com,"Stock Picks Today: Torrent Power, Reliance Industries, Apollo Hospitals On Brokerages' Radar","Brokerages' Radar: The India GDP figure, along with companies like Titagarh Rail Systems, Torrent Power, Reliance Industries Ltd., Apollo Hospitals and other sectors are drawing analyst attention today. The commentary includes insights on macroeconomic trends…",https://www.ndtvprofit.com/markets/stock-picks-today-torrent-power-reliance-industries-apollo-hospitals-on-brokerages-radar,2025-09-01T02:14:16Z,neutral,0.8732374310493469
NewsAPI - The Times of India,Reliance Jio IPO at $154 billion valuation? India's biggest listing and what investors need to know,"Reliance Jio is gearing up for a record-breaking IPO by H1 2026, potentially raising up to Rs 67,500 crore and valuing the company at $154 billion. It would surpass all previous Indian listings, including Hyundai and LIC. With over 500 million subscribers and…",https://economictimes.indiatimes.com/markets/ipos/fpos/reliance-jio-ipo-at-154-billion-valuation-indias-biggest-listing-and-what-investors-need-to-know/articleshow/123610914.cms,2025-08-31T04:03:33Z,positive,0.7681416273117065
NewsAPI - Ndtvprofit.com,"Manufacturing, Services PMI And Other Key Economic Data - The Week Ahead","The week ahead is set to see a lot of action for financial markets, with a mix of key global economic data. The domestic markets will also have their eyes on key economic data, initial public offering, among other things.",https://www.ndtvprofit.com/markets/manufacturing-services-pmi-and-other-key-economic-data-the-week-ahead,2025-08-31T03:29:56Z,neutral,0.8633818030357361
NewsAPI - Biztoc.com,"India's Richest Man Now Going After Mark Zuckerberg's Meta Glasses — After Starbucks, Coca-Cola, Pepsi And Netflix","On Friday, Reliance Industries Ltd., led by billionaire Mukesh Ambani, unveiled a wave of ambitious artificial intelligence and consumer tech initiatives, including Jio Frames smart glasses, signaling a direct challenge to Meta Platforms Inc.'s (NASDAQ:META) …",https://biztoc.com/x/19c143c06ec22bd1,2025-08-30T08:02:37Z,positive,0.8366886973381042
NewsAPI - The Times of India,"Reliance plans 2,000-bed hosp with med college","Mumbai: Reliance Foundation, the philanthropic arm of Reliance Industries Ltd (RIL), plans to open a second hospital in Mumbai. Currently, it manages .",https://timesofindia.indiatimes.com/city/mumbai/reliance-plans-2000-bed-hosp-with-med-college/articleshow/123589579.cms,2025-08-29T17:31:42Z,neutral,0.7629132270812988
NewsAPI - Ndtvprofit.com,FPIs Extend Selling Streak As Nifty Logs Steepest Weekly Fall In Nearly Five Months,The foreign portfolio investors on Friday stayed net sellers of Indian shares for the fifth consecutive session as markets extended their decline for the third session and logged their steepest weekly fall in nearly five months.,https://www.ndtvprofit.com/markets/fpis-extend-selling-streak-as-nifty-logs-steepest-weekly-fall-in-nearly-five-months,2025-08-29T15:45:46Z,negative,0.9660353064537048
NewsAPI - The Times of India,Proposed Reliance Jio IPO in 2026 billed as biggest public issue in Indian history,"Reliance Jio, India's largest telecom operator, is planning to launch its initial public offering (IPO) by the first half of 2026, which could be the biggest share-sale in the country's history.",https://economictimes.indiatimes.com/markets/ipos/fpos/proposed-reliance-jio-ipo-in-2026-billed-as-biggest-public-issue-in-indian-history/articleshow/123586367.cms,2025-08-29T13:36:53Z,neutral,0.7984700798988342
NewsAPI - Forbes,"Indian Billionaire Mukesh Ambani’s Reliance Forges AI Deals With Google, Meta As Its Mobile Carrier Gears Up For IPO","The AI push will be spearheaded by a newly created unit Reliance Intelligence, which would develop AI infrastructure and build a gigawatt-scale data center in the western Indian state of Gujarat.",https://www.forbes.com/sites/yessarrosendar/2025/08/29/indian-billionaire-mukesh-ambanis-reliance-forges-ai-deals-with-google-meta-as-its-mobile-carrier-gears-up-for-ipo/,2025-08-29T13:13:52Z,neutral,0.6344271898269653
NewsAPI - Livemint,"Reliance sets ₹1 trillion FMCG target to take on HUL, ITC","Isha M. Ambani, executive director of Reliance Retail Ventures Ltd, also said RCPL, its consumer products business, is set to become a direct subsidiary of Reliance Industries.",https://www.livemint.com/companies/reliance-agm-reliance-fmcg-expansion-reliance-consumer-products-revenue-target-reliance-vs-hul-itc-11756467847012.html,2025-08-29T12:44:05Z,neutral,0.9173781871795654
NewsAPI - The Times of India,From oil to green power: Reliance bets on the world’s largest clean energy hub,Reliance Industries is shifting from fossil fuels to clean energy. The company plans a mega battery plant by 2026. It will build a solar project larger than Singapore. Reliance aims for 3 million tonnes of green hydrogen by 2032. Anant Ambani envisions an int…,https://economictimes.indiatimes.com/industry/renewables/from-oil-to-green-power-reliance-bets-on-the-worlds-largest-clean-energy-hub/articleshow/123584668.cms,2025-08-29T11:51:15Z,neutral,0.7220531105995178
NewsAPI - Ndtvprofit.com,"Nifty Snaps Two-Week Winning Streak; Sensex Falls Below 80,000","The benchmark equity indices closed in the red for the third straight session on Friday, dragged down by shares of Reliance Industries Ltd.  The NSE Nifty 50 ended 74.05 points or 0.3% lower at 24,426.85 and the BSE Sensex closed 270.92 points or 0.34% down a…",https://www.ndtvprofit.com/markets/stock-market-highlights-nifty-snaps-two-week-winning-streak-sensex-falls-below-80000,2025-08-29T10:55:18Z,negative,0.974010705947876
NewsAPI - Ndtvprofit.com,Why Are Reliance Industries Shares Down After Jio Platform IPO Announcement?,"Reliance Industries Ltd. in its 48th annual general meeting on Friday led by billionaire industrialist Mukesh Ambani announced that its digital and telecom arm Reliance Jio will likely get listed in the first half of 2026. However, after the announcement was …",https://www.ndtvprofit.com/markets/why-are-reliance-industries-shares-down-after-jio-platform-ipo-announcement,2025-08-29T10:04:50Z,negative,0.947277009487152
NewsAPI - Financial Post,Billionaire Ambani Targets Reliance Jio IPO by June 2026,"Billionaire Mukesh Ambani is aiming to take India’s largest wireless carrier public by the first-half of 2026, as Reliance Industries Ltd. looks to unlock shareholder value and provide an exit route for investors.",https://financialpost.com/pmn/business-pmn/billionaire-ambani-targets-reliance-jio-ipo-by-june-2026,2025-08-29T10:00:18Z,positive,0.600667417049408
NewsAPI - Moneycontrol,"Reliance Industries launches AI unit with Google, Meta as strategic partners","RIL is partnering with Google to bring cloud to India, and with Meta to build sovereign, enterprise-ready AI platforms for businesses and government",https://www.moneycontrol.com/news/business/reliance-industries-launches-ai-unit-with-google-meta-as-strategic-partners-13500582.html,2025-08-29T09:44:01Z,positive,0.7385674118995667
NewsAPI - Livemint,"Reliance AGM: Jio aims to go public by the first half of 2026, says Mukesh Ambani",The announcement comes as Reliance Jio celebrates 10 years of operations.,https://www.livemint.com/industry/telecom/reliance-industries-jio-platforms-ipo-mukesh-ambani-ril-agm-11756458413458.html,2025-08-29T09:29:37Z,neutral,0.5313580632209778
NewsAPI - The Times of India,"How Reliance Industries shares are performing on AGM day. Should you buy, sell or hold?","Reliance Industries shares: Reliance Industries' investors are keenly awaiting Chairman Mukesh Ambani's AGM address, hopeful for updates on the IPOs of Jio and Retail, AI advancements, and new energy initiatives. Despite a four-year trend of post-AGM stock di…",https://economictimes.indiatimes.com/markets/stocks/news/how-reliance-industries-shares-are-performing-on-agm-day-should-you-buy-sell-or-hold/articleshow/123580626.cms,2025-08-29T08:23:59Z,positive,0.834755539894104
